Date,Team_1,Tem_2,Winner,Margin,Ground
16-03-2014,Bangladesh,Afghanistan,Bangladesh,9 wickets,Dhaka
16-03-2014,Hong Kong,Nepal,Nepal,80 runs,Chattogram
17-03-2014,Ireland,Zimbabwe,Ireland,3 wickets,Sylhet
17-03-2014,Netherlands,UAE,Netherlands,6 wickets,Sylhet
18-03-2014,Afghanistan,Hong Kong,Afghanistan,7 wickets,Chattogram
18-03-2014,Bangladesh,Nepal,Bangladesh,8 wickets,Chattogram
19-03-2014,Netherlands,Zimbabwe,Zimbabwe,5 wickets,Sylhet
19-03-2014,Ireland,UAE,Ireland,21 runs (D/L method),Sylhet
20-03-2014,Afghanistan,NEPAL,Nepal,9 runs,Chattogram
20-03-2014,Bangladesh,Hong Kong,Hong Kong,2 wickets,Chattogram
21-03-2014,Zimbabwe,UAE,Zimbabwe,5 wickets,Sylhet
21-03-2014,Ireland,Netherlands,Netherlands,6 wickets,Sylhet
21-03-2014,India,Pakistan,India,7 wickets,Dhaka
22-03-2014,South Africa,Sri Lanka,Sri Lanka,5 runs,Chattogram
22-03-2014,England,New Zealand,New Zealand,9 runs (D/L Method),Chattogram
23-03-2014,Australia,Pakistan,Pakistan,16 runs,Dhaka
23-03-2014,India,West Indies,India,7 wickets,Dhaka
24-03-2014,New Zealand,South Africa,South Africa,2 runs,Chattogram
24-03-2014,Netherlands,Sri Lanka,Sri Lanka,9 wickets,Chattogram
25-03-2014,Bangladesh,West Indies,West Indies,73 runs,Dhaka
27-03-2014,Netherlands,South Africa,South Africa,6 runs,Chattogram
27-03-2014,England,Sri Lanka,England,6 wickets,Chattogram
28-03-2014,Australia,West Indies,West Indies,6 wickets,Dhaka
28-03-2014,Bangladesh,India,India,8 wickets,Dhaka
29-03-2014,Netherlands,New Zealand,New Zealand,6 wickets,Chattogram
29-03-2014,England,South Africa,South Africa,3 runs,Chattogram
30-03-2014,Bangladesh,Pakistan,Pakistan,50 runs,Dhaka
30-03-2014,Australia,India,India,73 runs,Dhaka
31-03-2014,England,Netherlands,Netherlands,45 runs,Chattogram
31-03-2014,New Zeland,Sri Lanka,Sri Lanka,59 runs,Chattogram
04-01-2014,Bangladesh,Australia,Australia,7 wickets,Dhaka
04-01-2014,Pakistan,West Indies,West Indies,84 runs,Dhaka
04-03-2014,Sri Lanka,West Indies,Sri Lanka,27 runs (D/L method),Dhaka
04-04-2014,India,South Africa,India,6 wickets,Dhaka
04-06-2014,India,Sri Lanka,Sri Lanka,6 wickets,Dhaka
